source_id,skill_id,pack_id,coverage
S0101,dan-research,research,primary
S0102,dan-research,research,primary
S0103,dan-research,research,primary
S0104,dan-research,research,primary
S0105,dan-research,research,primary
A0104,dan-research,research,secondary
S0106,dan-research,research,secondary
S0201,dan-literature,literature,primary
S0202,dan-literature,literature,primary
S0203,dan-literature,literature,primary
S0204,dan-literature,literature,primary
S0206,dan-literature,literature,primary
S0207,dan-literature,literature,secondary
S0205,dan-literature,literature,template_only
S0301,dan-question-gap,question-gap,primary
S0302,dan-question-gap,question-gap,primary
S0304,dan-question-gap,question-gap,primary
S0305,dan-question-gap,question-gap,primary
S0307,dan-question-gap,question-gap,primary
S0303,dan-question-gap,question-gap,secondary
S0306,dan-question-gap,question-gap,secondary
S0308,dan-question-gap,question-gap,secondary
S0401,dan-theory,theory,primary
S0402,dan-theory,theory,primary
S0403,dan-theory,theory,primary
S0404,dan-theory,theory,primary
S0406,dan-theory,theory,primary
S0405,dan-theory,theory,secondary
S0407,dan-theory,theory,secondary
S0501,dan-design,design,primary
S0501,dan-method-atlas,methods,primary
S0502,dan-design,design,primary
S0502,dan-method-atlas,methods,primary
S0504,dan-design,design,primary
S0504,dan-method-atlas,methods,primary
S0505,dan-design,design,primary
S0505,dan-method-atlas,methods,primary
S0506,dan-design,design,primary
S0506,dan-method-atlas,methods,primary
S0503,dan-design,design,secondary
S0503,dan-method-atlas,methods,secondary
S0601,dan-paper-writing,writing,primary
S0602,dan-paper-writing,writing,primary
S0603,dan-paper-writing,writing,primary
S0604,dan-paper-writing,writing,primary
S0404,dan-paper-writing,writing,secondary
S0701,dan-review-paper,review-paper,primary
S0702,dan-review-paper,review-paper,primary
S0703,dan-review-paper,review-paper,primary
S0705,dan-review-paper,review-paper,primary
A0102,dan-review-paper,review-paper,secondary
A0103,dan-review-paper,review-paper,secondary
S0704,dan-review-paper,review-paper,secondary
S0706,dan-review-paper,review-paper,secondary
S0802,dan-submission,submission,primary
S0803,dan-submission,submission,primary
S0806,dan-submission,submission,primary
S0804,dan-submission,submission,secondary
S0805,dan-submission,submission,secondary
S0807,dan-submission,submission,secondary
S0801,dan-submission,submission,template_only
S0903,dan-defense,defense,primary
S0904,dan-defense,defense,primary
A0104,dan-defense,defense,secondary
S0905,dan-defense,defense,secondary
S0906,dan-defense,defense,secondary
S0901,dan-defense,defense,template_only
S0902,dan-defense,defense,template_only
S1004,dan-planning,planning,appendix
S1004,dan-academic-tools,tools,appendix
S1005,dan-planning,planning,appendix
S1005,dan-academic-tools,tools,appendix
S1001,dan-planning,planning,primary
S1001,dan-academic-tools,tools,primary
S1003,dan-planning,planning,primary
S1003,dan-academic-tools,tools,primary
S0101,dan-planning,planning,secondary
S0101,dan-academic-tools,tools,secondary
S1002,dan-planning,planning,secondary
S1002,dan-academic-tools,tools,secondary
