source_id,theme,content_type,derived_role,pack_ids
A0101,appendix,directory,appendix,defense;research;review-paper
A0102,appendix,pdf,appendix,defense;research;review-paper
A0103,appendix,pdf,appendix,defense;research;review-paper
A0104,appendix,pdf,appendix,defense;research;review-paper
S0101,overall_map,pdf,primary,planning;research;tools
S0102,overall_map,pdf,primary,planning;research
S0103,overall_map,pdf,primary,planning;research
S0104,overall_map,pdf,primary,planning;research
S0105,overall_map,pdf,primary,planning;research
S0106,overall_map,pdf,secondary,planning;research
S0201,literature,pdf,primary,literature;tools
S0202,literature,pdf,primary,literature;tools
S0203,literature,pdf,primary,literature;tools
S0204,literature,pdf,primary,literature;tools
S0205,literature,docx,template_only,literature;tools
S0206,literature,pdf,primary,literature;tools
S0207,literature,pdf,secondary,literature;tools
S0301,research_question,pdf,primary,question-gap
S0302,research_question,pdf,primary,question-gap
S0303,research_question,pdf,secondary,question-gap
S0304,research_question,pdf,primary,question-gap
S0305,research_question,pdf,primary,question-gap
S0306,research_question,pdf,secondary,question-gap
S0307,research_question,pdf,primary,question-gap
S0308,research_question,pdf,secondary,question-gap
S0401,theory_model,pdf,primary,methods;theory
S0402,theory_model,directory,primary,methods;theory
S0403,theory_model,directory,primary,methods;theory
S0404,theory_model,pdf,primary,methods;theory;writing
S0405,theory_model,pdf,secondary,methods;theory
S0406,theory_model,pdf,primary,methods;theory
S0407,theory_model,pdf,secondary,methods;theory
S0501,methods,pdf,primary,design;methods
S0502,methods,pdf,primary,design;methods
S0503,methods,pdf,secondary,design;methods
S0504,methods,pdf,primary,design;methods
S0505,methods,pdf,primary,design;methods
S0506,methods,pdf,primary,design;methods
S0601,writing,pdf,primary,tools;writing
S0602,writing,pdf,primary,tools;writing
S0603,writing,pdf,primary,tools;writing
S0604,writing,pdf,primary,tools;writing
S0701,review,pdf,primary,methods;review-paper
S0702,review,pdf,primary,methods;review-paper
S0703,review,pdf,primary,methods;review-paper
S0704,review,directory,secondary,methods;review-paper
S0705,review,pdf,primary,methods;review-paper
S0706,review,pdf,secondary,methods;review-paper
S0801,submission,directory,template_only,submission;tools
S0802,submission,pdf,primary,submission;tools
S0803,submission,pdf,primary,submission;tools
S0804,submission,pdf,secondary,submission;tools
S0805,submission,pdf,secondary,submission;tools
S0806,submission,pdf,primary,submission;tools
S0807,submission,pdf,secondary,submission;tools
S0901,defense,directory,template_only,defense;tools
S0902,defense,directory,template_only,defense;tools
S0903,defense,pdf,primary,defense;tools
S0904,defense,pdf,primary,defense;tools
S0905,defense,pdf,secondary,defense;tools
S0906,defense,pdf,secondary,defense;tools
S1001,planning,pdf,primary,planning;tools
S1002,planning,pdf,secondary,planning;tools
S1003,planning,pdf,primary,planning;tools
S1004,planning,directory,appendix,planning;tools
S1005,planning,directory,appendix,planning;tools
T0101,tools,pdf,tool_only,tools
T0102,tools,pdf,tool_only,tools
T0103,tools,pdf,tool_only,tools
T0104,tools,directory,tool_only,tools
